# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
bing du 	病毒	c=1 d=1 t=511
bing fa 	併發	c=0 d=0.1 t=6374
bing fa fang wen 	併發訪問	c=2 d=1.71892 t=6441
bing jin xing pai xu 	並進行排序	c=1 d=1 t=4519
bing ke neng dao zhi 	並可能導致	c=1 d=0.985112 t=130
bing mei shuo 	並沒說	c=1 d=1 t=2698
bing mei you 	並沒有	c=0 d=0.1 t=2720
bing mei you shou dao 	並沒有受到	c=1 d=1 t=2721
bing qie 	並且	c=1 d=1 t=6682
bing she zhi 	並設置	c=1 d=1 t=6161
bing shu chu 	並輸出	c=2 d=1.99501 t=1012
bing wei 	並未	c=0 d=0.1 t=748
bing wei jing guo 	並未經過	c=1 d=1 t=749
bing xiang xin 	並相信	c=1 d=1 t=3809
bing ying yong 	並應用	c=2 d=1.0476 t=1909
bing zhao 	並找	c=1 d=1 t=2254
bo fang 	播放	c=0 d=0.1 t=1640
bo he 	薄荷	c=4 d=2.72789 t=6633
bo qi 	波奇	c=0 d=0.1 t=2196
bo qi jiang 	波奇醬	c=1 d=1 t=2197
bo yi 	博弈	c=1 d=0.913931 t=130
bu 	不	c=4 d=2.11221 t=5745
bu chong 	補充	c=1 d=1.01416 t=3956
bu chu yi wai 	不出意外	c=1 d=1 t=6600
bu chuan 	不傳	c=0 d=0.1 t=942
bu chuan ru 	不傳入	c=1 d=1 t=943
bu cun zai 	不存在	c=1 d=1 t=6122
bu da 	不大	c=0 d=0.1 t=5719
bu diao 	不掉	c=1 d=0.1 t=4171
bu ding 	不定	c=0 d=0.1 t=2729
bu dui 	不對	c=0 d=0.1 t=4308
bu fen 	部分	c=3 d=1.20008 t=6385
bu fen fa song 	部分發送	c=1 d=1 t=5046
bu gou 	不夠	c=0 d=0.1 t=4104
bu guan yong 	不管用	c=3 d=1.14193 t=6134
bu guo 	不過	c=3 d=1.21289 t=3454
bu hao 	不好	c=0 d=0.1 t=2090
bu hao yi si 	不好意思	c=1 d=1 t=3628
bu hui ba 	不會吧	c=0 d=0.1 t=5524
bu hui chu xian 	不會出現	c=1 d=1 t=741
bu hui xie 	不會寫	c=1 d=1 t=818
bu jian 	部件	c=0 d=0.1 t=2598
bu jin 	不進	c=0 d=0.1 t=6045
bu jin qu 	不進去	c=0 d=0.1 t=5090
bu jing chang 	不經常	c=1 d=1 t=3133
bu ju 	佈局	c=1 d=1 t=462
bu ke yi 	不可以	c=1 d=1 t=6188
bu ke yi se se 	不可以澀澀	c=1 d=1 t=2203
bu ku 	不哭	c=1 d=1 t=3835
bu liao 	不了	c=0 d=0.101046 t=1432
bu neng 	不能	c=2 d=0.932394 t=6821
bu neng bei 	不能被	c=1 d=1 t=967
bu neng pao 	不能跑	c=1 d=1 t=5131
bu neng shi 	不能是	c=1 d=1 t=2862
bu neng yong 	不能用	c=2 d=1.84366 t=5940
bu neng zhe yang yi ci 	不能這樣一次	c=1 d=1 t=1862
bu quan 	不全	c=1 d=1 t=5442
bu que ding 	不確定	c=0 d=0.1 t=4525
bu que ding ge shu 	不確定個數	c=1 d=1 t=4526
bu ran 	不然	c=1 d=0.1 t=6542
bu ran ne 	不然呢	c=1 d=1 t=3674
bu ru shuo 	不如說	c=1 d=1 t=4287
bu shao 	不少	c=1 d=1 t=2087
bu shi 	不是	c=9 d=0.941765 t=6821
bu shi la 	不是啦	c=1 d=1 t=3704
bu shi ne 	不是呢	c=1 d=1 t=3675
bu shi ren 	不是人	c=1 d=0.909373 t=6821
bu shi yong 	不使用	c=1 d=1 t=789
bu shi zhen shi fa sheng de 	不是真是發生的	c=1 d=1 t=3449
bu ting 	不聽	c=0 d=0.1 t=3876
bu ting ge 	不聽歌	c=1 d=1 t=3877
bu tong 	不同	c=3 d=1.00233 t=5228
bu tong de 	不同的	c=1 d=1 t=6057
bu tong jie duan 	不同階段	c=1 d=1 t=2403
bu wan zheng 	不完整	c=1 d=0.700496 t=5173
bu xia 	不下	c=0 d=0.1 t=5459
bu xian yu 	不限於	c=1 d=0.1 t=5813
bu xiang 	不想	c=0 d=0.1 t=3124
bu xiang kan 	不想看	c=1 d=1 t=2080
bu xiao xin 	不小心	c=1 d=1 t=644
bu xu yao 	不需要	c=1 d=0.382239 t=3613
bu xu yao bao han 	不需要包含	c=1 d=1 t=3614
bu yao 	不要	c=2 d=1.00004 t=6246
bu yao de 	不要的	c=1 d=1 t=4081
bu yao dian 	不要點	c=1 d=1 t=4062
bu yao jia she 	不要假設	c=1 d=1 t=3390
bu yao shi yong 	不要使用	c=1 d=1 t=4237
bu yi zhi 	不一致	c=1 d=1 t=4214
bu ying gai shi 	不應該是	c=1 d=1 t=3980
bu ying xiang 	不影響	c=1 d=1 t=2048
bu yong 	不用	c=5 d=1.00107 t=6635
bu yong gao su wo 	不用告訴我	c=1 d=1 t=3310
bu yong shi tu 	不用試圖	c=1 d=1 t=5179
bu yong zhu ce 	不用註冊	c=1 d=1 t=3766
bu yong zhuan 	不用轉	c=1 d=1 t=3827
bu zai 	不在	c=1 d=1 t=2715
bu zhi dao 	不知道	c=1 d=1 t=665
bu zhi ding 	不指定	c=3 d=1.56007 t=1255
bu zhi ding duo ge shu ju 	不指定多個數據	c=1 d=1 t=4539
bu zhou 	步驟	c=1 d=1 t=3312
bu zhuang 	不裝	c=0 d=0.1 t=600
bu zhuang zai 	不裝載	c=1 d=1 t=601
bu zhun 	不準	c=1 d=1 t=4252
cai 	才	c=0 d=0.1 t=4897
cai cai 	猜猜	c=0 d=0.1 t=2901
cai ce 	猜測	c=2 d=1.99382 t=2984
cai fa xian 	纔發現	c=1 d=1 t=5619
cai gang gang 	才剛剛	c=1 d=1 t=4898
cai ji 	菜雞	c=1 d=1 t=4286
cai ke 	纔可	c=1 d=1 t=5717
cai neng 	才能	c=0 d=0.1 t=1544
cai neng cu jin wo men 	才能促進我們	c=1 d=1 t=1545
cai shi 	纔是	c=1 d=1 t=483
cai zhao ni wen 	才找你問	c=1 d=1 t=2129
cai zhi dao 	纔知道	c=1 d=1 t=2115
can kao zi liao 	參考資料	c=1 d=0.687289 t=130
can que 	殘缺	c=0 d=0.1 t=5185
can que de 	殘缺的	c=1 d=1 t=5186
can shu 	參數	c=8 d=1.8454 t=4713
can yu 	參與	c=0 d=0.1 t=4350
can yu bi jiao 	參與比較	c=1 d=1 t=4351
cang ku 	倉庫	c=1 d=1 t=6711
cao 	操	c=0 d=0.1 t=5111
cao 	草	c=5 d=1.00002 t=6661
cao gao 	草稿	c=1 d=1 t=6747
cao zuo 	操作	c=5 d=0.1 t=5836
cao zuo xi tong 	操作系統	c=5 d=1.01549 t=1838
ce lve 	策略	c=1 d=1 t=4642
ce shi 	測試	c=3 d=1.00643 t=5825
ce shi chang jing xia 	測試場景下	c=1 d=1 t=2842
ce shi ni de 	測試你的	c=1 d=1 t=3485
ce shi tong guo 	測試通過	c=2 d=1.01005 t=2074
ce shi wen jian 	測試文件	c=1 d=1 t=5277
ce shi yong li 	測試用例	c=2 d=1.97531 t=4438
ceng jing 	曾經	c=0 d=0.100075 t=3213
ceng jing ce shi guo 	曾經測試過	c=1 d=1 t=3214
cha 	查	c=1 d=1 t=1846
cha jian 	插件	c=1 d=1 t=2257
cha kan 	查看	c=2 d=1.00202 t=1953
cha ru 	插入	c=7 d=1.00083 t=3638
cha ru shu ju 	插入數據	c=1 d=1 t=1848
cha wan 	查完	c=1 d=1 t=1120
cha xun 	查詢	c=11 d=1.00668 t=6098
cha xun dao 	查詢到	c=1 d=1 t=1715
cha xun shi tu 	查詢視圖	c=1 d=1 t=1992
cha zhao 	查找	c=4 d=1.00665 t=6261
cha zhao dao 	查找到	c=1 d=1 t=1118
cha zhao shu ju 	查找數據	c=1 d=1 t=5714
cha zhao suan fa 	查找算法	c=1 d=0.777057 t=1142
chai le 	拆了	c=0 d=0.1 t=6633
chai men 	拆門	c=1 d=1 t=6631
chan sheng 	產生	c=4 d=1.00007 t=4477
chan sheng le 	產生了	c=2 d=1.78593 t=164
chang du 	長度	c=3 d=1.00099 t=6200
chang jing 	場景	c=2 d=1.09466 t=3457
chang qi 	長期	c=1 d=1 t=454
chang shi 	嘗試	c=2 d=1.00039 t=3423
chang yi dian 	長一點	c=0 d=0.1 t=3630
chao 	超	c=1 d=1 t=4458
chao liu 	潮流	c=1 d=1 t=1563
chao wo 	抄我	c=1 d=1 t=797
chao xing 	超星	c=1 d=1 t=2200
che bing 	撤兵	c=1 d=0.960789 t=130
chen 	陳	c=0 d=0.1 t=1465
chen ping an 	陳平安	c=2 d=1.23108 t=1759
cheng 	成	c=2 d=1.08512 t=6270
cheng 	澄	c=1 d=1 t=3687
cheng 	程	c=1 d=1 t=536
cheng 	稱	c=1 d=1 t=6809
cheng cheng 	澄澄	c=2 d=1.39063 t=3857
cheng de shang 	稱得上	c=0 d=0.0937067 t=130
cheng de shang shi 	稱得上是	c=1 d=0.941765 t=130
cheng gong 	成功	c=4 d=1.00003 t=4786
cheng ji 	成績	c=2 d=1.87372 t=4968
cheng li 	成立	c=1 d=1 t=222
cheng ren 	承認	c=0 d=0.0740818 t=130
cheng shi 	城市	c=1 d=1 t=439
cheng shou 	承受	c=0 d=0.1 t=414
cheng wei 	成爲	c=3 d=1 t=4512
cheng xu 	程序	c=22 d=1.8341 t=6249
cheng xu a 	程序啊	c=1 d=1 t=3979
cheng xu hui 	程序會	c=1 d=0.558406 t=4468
cheng xu hui jin xing 	程序會進行	c=1 d=1 t=4469
cheng xu ji 	程序集	c=1 d=1 t=2571
cheng xu ye 	程序也	c=1 d=1 t=975
cheng xu yuan 	程序員	c=1 d=1 t=525
cheng yi 	乘以	c=1 d=1 t=4560
cheng yuan guo 	成員國	c=0 d=0.1 t=176
chi zi qin 	2020201502迟子钦	c=5 d=3.30207 t=1619
chi zi qin 	遲子欽	c=45 d=2.62117 t=6821
chong 	衝	c=1 d=1 t=3783
chong dian 	充電	c=1 d=1 t=5733
chong ding xiang 	重定向	c=1 d=1 t=5474
chong fu 	重複	c=1 d=0.278173 t=3597
chong fu de 	重複的	c=1 d=1 t=1925
chong gou 	重構	c=1 d=0.378037 t=5398
chong gou guo de 	重構過的	c=1 d=1 t=5399
chong shi 	重試	c=2 d=1.99005 t=884
chong tu 	衝突	c=4 d=1.75972 t=504
chong tu sheng ji 	衝突升級	c=1 d=1 t=135
chong tu zhong 	衝突中	c=1 d=1 t=451
chong xin 	重新	c=3 d=1.00038 t=6024
chong xin qi dong 	重新啓動	c=0 d=0.1 t=5871
chong xin sheng cheng 	重新生成	c=1 d=1 t=4911
chong zhi 	重置	c=3 d=0.783923 t=5814
chong zhi le 	重置了	c=1 d=1 t=5815
chou chu 	抽出	c=1 d=1 t=6587
chu 	出	c=1 d=1 t=968
chu 	除	c=1 d=1 t=5840
chu ci zhi wai 	除此之外	c=2 d=1.50662 t=4774
chu cuo 	出錯	c=1 d=1 t=987
chu dao 	出刀	c=1 d=1 t=5575
chu de 	出的	c=0 d=0.1 t=5679
chu fa qi 	觸發器	c=2 d=1.56553 t=4991
chu ju 	出具	c=0 d=0.1 t=1824
chu ju de 	出具的	c=1 d=1 t=1825
chu kou 	出口	c=0 d=0.1 t=202
chu lai le 	出來了	c=1 d=1 t=4453
chu le 	除了	c=4 d=1.01228 t=6670
chu li 	厨力	c=1 d=1 t=4389
chu li 	處理	c=5 d=1.02374 t=5388
chu lu 	出路	c=1 d=1 t=485
chu xian 	出現	c=1 d=1 t=903
chu yuan 	出院	c=0 d=0.1 t=3519
chu yuan le ma 	出院了嗎	c=1 d=1 t=3520
chu zai 	處在	c=1 d=1 t=3280
chuan 	串	c=2 d=2.00248 t=4676
chuan 	傳	c=1 d=1 t=783
chuan can 	傳參	c=1 d=1 t=4711
chuan ru 	傳入	c=3 d=1.31037 t=4574
chuan ru yi ge 	傳入一個	c=1 d=1 t=1332
chuan shuo 	傳說	c=0 d=0.1 t=2677
chuan shuo ren wu 	傳說任務	c=1 d=1 t=2678
chuan zhuan 	船專	c=1 d=0.882497 t=6821
chuang jian 	創建	c=6 d=1.07317 t=5469
chuang kou 	窗口	c=1 d=1.09608 t=4054
chuang kou ju beng 	窗口據泵	c=1 d=1 t=4047
chuang kou ju bing 	窗口句柄	c=1 d=1 t=4046
chuang xin 	創新	c=2 d=1.99005 t=2214
chuang zao li 	創造力	c=2 d=1.97531 t=5689
chuang zuo 	創作	c=1 d=1.09005 t=6727
chuang zuo gong kai 	創作公開	c=1 d=1 t=6728
chuang zuo he 	創作和	c=1 d=1 t=508
chun 	純	c=1 d=1 t=6173
chun meng 	蠢萌	c=2 d=1.38098 t=5583
chun yu 	春雨	c=0 d=0.1 t=1020
chuo la 	戳啦	c=1 d=1 t=5655
ci 	次	c=1 d=0.100009 t=3387
ci 	此	c=3 d=1.17167 t=1400
ci 	詞	c=0 d=0.1 t=6233
ci ci 	此次	c=1 d=1 t=151
ci dai ma 	此代碼	c=1 d=1 t=760
ci gen 	詞根	c=1 d=1 t=6769
ci shu 	次數	c=3 d=1.05098 t=5476
ci xi 	磁吸	c=1 d=1 t=5587
ci yu 	詞語	c=0 d=0.1 t=5997
ci yu de 	詞語的	c=1 d=1 t=5998
ci zhui 	詞綴	c=2 d=1.8781 t=6783
cong 	從	c=9 d=1.00005 t=6581
cong na 	從哪	c=1 d=1 t=2089
cong ni 	從你	c=1 d=1 t=3986
cong xian zai kai shi 	從現在開始	c=1 d=1 t=2836
cong xiao dao da 	從小到大	c=1 d=1 t=4289
cong zhong jian 	從中間	c=1 d=1 t=5074
cu jin 	促進	c=0 d=0.1 t=1544
cu xiao 	促銷	c=1 d=1 t=6289
cui mian 	催眠	c=1 d=1 t=2828
cun 	存	c=0 d=0.1 t=4752
cun chu 	存儲	c=5 d=1.00016 t=6435
cun chu de 	存儲的	c=2 d=1.00027 t=3338
cun chu guo cheng 	存儲過程	c=2 d=1.5599 t=4995
cun chu le 	存儲了	c=2 d=1.00003 t=3333
cun chu qi 	存儲器	c=1 d=1 t=2596
cun chu xi tong 	存储系统	c=2 d=1.91884 t=6422
cun jin qu 	存進去	c=1 d=1 t=4753
cun zai 	存在	c=1 d=0.100113 t=3149
cun zai yu 	存在於	c=1 d=1 t=2711
cuo 	搓	c=0 d=0.1 t=2077
cuo 	錯	c=1 d=1 t=6125
cuo ci 	措辭	c=1 d=1 t=2859
cuo de 	錯的	c=0 d=0.101094 t=5681
cuo la 	錯啦	c=1 d=1 t=3680
cuo le 	錯了	c=3 d=1.86502 t=6061
cuo wei 	錯位	c=0 d=0.1 t=2414
cuo wei de 	錯位的	c=1 d=1 t=2415
cuo wu 	錯誤	c=7 d=1.19849 t=4909
cuo wu de 	錯誤的	c=2 d=1.8311 t=4043
cuo wu qing kuang 	錯誤情況	c=1 d=1 t=4534
cuo yi ge 	搓一個	c=1 d=1 t=2078
da 	大	c=2 d=0.178493 t=5301
da 	打	c=1 d=1 t=6663
da an 	答案	c=1 d=1 t=5227
da bao 	打包	c=2 d=2.05551 t=6270
da bao cheng 	打包成	c=1 d=1 t=6271
da bu 	打不	c=0 d=0.1 t=4299
da bu fen 	大部分	c=0 d=0.1 t=1246
da bu fen qing kuang xia 	大部分情況下	c=1 d=1 t=1247
da bu kai 	打不開	c=1 d=1 t=5881
da bu kai le 	打不開了	c=1 d=1 t=594
da bu zhong 	打不中	c=1 d=1 t=4300
da cuo le 	打錯了	c=1 d=1 t=3630
da dao 	達到	c=1 d=1 t=5310
da gai 	大概	c=1 d=1.00088 t=4193
da gai lv 	大概率	c=1 d=1 t=2156
da gai you duo da ne 	大概有多大呢	c=1 d=1 t=3248
da gan zhe 	大甘蔗	c=4 d=3.70707 t=3620
da guo 	大國	c=2 d=0.70994 t=501
da jian 	搭建	c=1 d=1 t=710
da jie 	大街	c=0 d=0.1 t=2136
da kai 	打開	c=5 d=1.47758 t=6626
da kai jia su qi 	打開加速器	c=1 d=1 t=5409
da lao 	大佬	c=1 d=1 t=1457
da le ge 	搭了個	c=1 d=1 t=3764
da liang 	大量	c=4 d=1 t=6755
da ma jiang 	打麻將	c=0 d=0.1 t=6646
da ma jiang ne 	打麻將呢	c=1 d=1 t=6647
da po le 	打破了	c=1 d=1 t=278
da shi 	大師	c=0 d=0.1 t=5636
da shuai 	大帥	c=0 d=0.1 t=5588
da shuai bi 	大帥比	c=1 d=1 t=5589
da suan 	打算	c=1 d=1.00002 t=4821
da suan shi yong 	打算使用	c=1 d=1 t=3079
da ti shang 	大體上	c=1 d=1 t=6754
da tui 	大腿	c=0 d=0.1 t=3925
da wan 	打完	c=1 d=1 t=5078
da xiao 	大小	c=4 d=1.00863 t=6689
da xing 	大型	c=0 d=0.1 t=2832
da xing yu yan 	大型語言	c=2 d=0.920106 t=3204
da xing yu yan mo xing 	大型語言模型	c=1 d=1 t=3205
da xue 	大學	c=1 d=1 t=2147
da ya 	打壓	c=1 d=1 t=374
da yin 	打印	c=0 d=0.101051 t=5175
da yin shi hang 	打印十行	c=1 d=1 t=4265
da yue 	大約	c=1 d=1 t=6627
da zhe 	打折	c=2 d=1.02844 t=1366
da zi 	打字	c=0 d=0.1 t=3199
da zi jiao tan 	打字交談	c=1 d=1 t=3200
da zuo 	大作	c=0 d=0.1 t=6443
da zuo ye 	大作業	c=1 d=1 t=6444
dai 	待	c=2 d=1.05393 t=1029
dai ci 	代詞	c=2 d=1.94176 t=6804
dai dai 	帶帶	c=1 d=1 t=1458
dai jin lai 	帶進來	c=0 d=0.1 t=683
dai jin lai de 	帶進來的	c=1 d=1 t=684
dai li 	代理	c=2 d=1 t=5003
dai ling 	帶領	c=0 d=0.1 t=1495
dai ma 	代碼	c=24 d=3.99948 t=6278
dai ma bu wan zheng 	代碼不完整	c=1 d=1 t=5174
